연도,행정구역,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,취약연령 비율,농어가 인구,농어가 인구 비율,고혈압 경험 비율,당뇨 경험 비율,노후주택 비율
2021,강원도,1538492,100971,133885,175424,162817,219422,264586,260158,132627,76586,11658,358,0.38,153596,0.1,0.35,0.15,0.11
2021,경기도,13565450,1099927,1321005,1798269,1900447,2296173,2274844,1669601,773573,374488,55363,1760,0.29,281612,0.02,0.26,0.11,0.02
2021,경상남도,3314183,250669,319461,362661,379886,527396,579779,494113,249720,131422,18682,394,0.35,261521,0.08,0.3,0.12,0.11
2021,경상북도,2626609,178515,221964,276021,279475,377180,454427,433047,244151,140963,20313,553,0.39,352785,0.13,0.31,0.14,0.17
2021,광주광역시,1441611,114065,152404,206472,181189,236167,235764,172124,94547,42636,6066,177,0.3,35403,0.02,0.23,0.1,0.05
2021,대구광역시,2385412,167823,218537,308921,284865,372555,419444,342291,177828,82781,10122,245,0.33,54006,0.02,0.25,0.12,0.06
2021,대전광역시,1452251,107548,142175,209397,189669,231018,240017,190514,92390,43199,6155,169,0.3,29025,0.02,0.26,0.11,0.05
2021,부산광역시,3350380,219611,266105,415549,405300,502391,554768,548878,298128,123791,15457,402,0.36,28318,0.01,0.26,0.12,0.09
2021,서울특별시,9509458,583683,756136,1422277,1439279,1480780,1507194,1285922,695800,295009,41735,1643,0.31,15767,0.0,0.25,0.1,0.05
2021,세종특별자치시,371895,47063,45794,38510,61719,72764,48876,33522,14775,7557,1288,27,0.28,15348,0.04,0.22,0.08,0.03
2021,울산광역시,1121592,92018,109990,137422,144891,183954,207056,155775,63024,24119,3276,67,0.3,31910,0.03,0.23,0.1,0.04
2021,인천광역시,2948375,217384,271131,391051,402091,481066,510969,399128,179244,82853,13041,417,0.3,31608,0.01,0.3,0.13,0.03
2021,전라남도,1832803,123712,163148,193735,178428,252254,312463,284871,191022,115490,17216,464,0.4,325800,0.18,0.33,0.15,0.22
2021,전라북도,1786855,119673,170128,206579,182181,259675,298654,268393,170337,95991,14839,405,0.37,193670,0.11,0.34,0.14,0.15
2021,제주특별자치도,676759,57987,70369,80923,81026,111251,114905,84877,45783,25230,4213,195,0.32,81900,0.12,0.27,0.1,0.11
2021,충청남도,2119257,162726,200673,238297,259565,325419,340591,299801,172067,104173,15528,417,0.36,265233,0.13,0.33,0.13,0.12
2021,충청북도,1597427,116975,146411,194415,190607,237327,270874,241697,120068,69193,9592,268,0.35,151793,0.1,0.31,0.14,0.1
2022,강원도,1536498,96036,132133,170194,160365,215872,262025,267950,138112,81500,11974,337,0.39,147975,0.1,0.36,0.15,0.11
2022,경기도,13589432,1040954,1327726,1737291,1882300,2284603,2293422,1750962,808663,403721,58065,1725,0.3,278892,0.02,0.27,0.12,0.02
2022,경상남도,3280493,229942,318924,341089,362225,519743,576029,514199,259695,138257,20006,384,0.35,259606,0.08,0.31,0.13,0.11
2022,경상북도,2600492,165119,220579,261320,268368,369977,449269,446069,248866,148945,21453,527,0.4,348189,0.13,0.32,0.14,0.17
2022,광주광역시,1431050,106977,150857,198619,177417,232740,237879,177332,96069,46682,6305,173,0.3,31688,0.02,0.24,0.12,0.05
2022,대구광역시,2363691,157730,217532,294363,279457,363802,415142,351340,184159,89098,10830,238,0.34,51862,0.02,0.27,0.13,0.05
2022,대전광역시,1446072,102233,140288,203887,187991,226654,239260,197255,95129,46641,6553,181,0.31,26564,0.02,0.26,0.12,0.05
2022,부산광역시,3317812,206377,265934,395398,396427,494742,543722,555859,308718,134148,16081,406,0.37,25573,0.01,0.27,0.13,0.09
2022,서울특별시,9428372,545317,749118,1389483,1425808,1449706,1492802,1297787,713496,321209,42354,1292,0.31,14475,0.0,0.26,0.12,0.05
2022,세종특별자치시,383591,45951,49002,38379,61083,76504,51667,35788,15705,8079,1398,35,0.28,13789,0.04,0.2,0.07,0.03
2022,울산광역시,1110663,85061,110202,129209,139635,181630,204688,163353,66916,26466,3442,61,0.31,30516,0.03,0.23,0.11,0.04
2022,인천광역시,2967314,208942,272740,376526,405262,481848,509651,420463,188099,89656,13704,423,0.31,28787,0.01,0.3,0.13,0.03
2022,전라남도,1817697,114889,161566,185970,172262,247532,311348,293838,188760,122806,18184,542,0.41,321844,0.18,0.34,0.15,0.22
2022,전라북도,1769607,110400,167541,198284,176505,253575,297923,277139,168628,103594,15556,462,0.38,188444,0.11,0.36,0.16,0.15
2022,제주특별자치도,678159,54806,70873,77720,79539,110998,117262,89005,46921,26288,4516,231,0.33,80459,0.12,0.29,0.12,0.11
2022,충청남도,2123037,152498,202299,231139,253435,327001,341662,313734,173947,109748,17137,437,0.36,255020,0.12,0.34,0.14,0.12
2022,충청북도,1595058,109410,145882,188310,187432,236190,268313,251466,123834,73755,10187,279,0.36,152749,0.1,0.32,0.14,0.1
2023,강원도,1527807,90872,129053,163610,158594,208819,262513,275323,141876,84135,12622,390,0.4,143016,0.09,0.37,0.15,0.11
2023,경기도,13630821,989550,1320631,1682138,1878734,2256931,2335999,1831793,847103,423029,63061,1852,0.3,265775,0.02,0.27,0.12,0.02
2023,경상남도,3251158,211999,315947,322711,350135,505303,582857,529417,269057,141937,21352,443,0.36,250356,0.08,0.31,0.13,0.11
2023,경상북도,2554324,151926,217311,248255,259154,357366,444707,449427,252946,150000,22667,565,0.4,334475,0.13,0.33,0.15,0.16
2023,광주광역시,1419237,99779,147525,190905,174075,227259,240674,184732,99128,48185,6768,207,0.31,30390,0.02,0.23,0.12,0.05
2023,대구광역시,2374960,150403,214121,282470,279965,356114,420799,365980,195523,96888,12432,265,0.35,48140,0.02,0.26,0.12,0.05
2023,대전광역시,1442216,96727,137836,199228,187965,220131,243258,202026,99140,48573,7121,211,0.31,25179,0.02,0.27,0.13,0.05
2023,부산광역시,3293362,194403,263339,377587,390659,484716,541925,560720,320407,141906,17268,432,0.38,25913,0.01,0.28,0.13,0.08
2023,서울특별시,9386034,513562,733211,1355811,1427405,1420073,1495557,1315938,738469,339214,45346,1448,0.31,13667,0.0,0.27,0.11,0.04
2023,세종특별자치시,386525,43541,50736,37810,59340,77183,54433,37233,16478,8234,1494,43,0.28,13721,0.04,0.21,0.1,0.03
2023,울산광역시,1103661,79086,109462,122522,136909,178114,204814,169307,71586,28057,3725,79,0.32,28140,0.03,0.24,0.1,0.04
2023,인천광역시,2997410,202329,272079,364103,413085,480780,516033,441411,197825,94397,14877,491,0.32,27125,0.01,0.31,0.14,0.03
2023,전라남도,1804217,107726,158933,178152,169502,240813,310282,305457,189922,123690,19148,592,0.41,311702,0.17,0.35,0.16,0.21
2023,전라북도,1754757,102482,164304,190813,172999,245114,300818,284897,171805,104131,16920,474,0.39,184344,0.11,0.37,0.16,0.14
2023,제주특별자치도,675252,51403,70469,74037,78167,108720,118487,93983,47881,26824,4986,295,0.33,78624,0.12,0.28,0.11,0.11
2023,충청남도,2130119,143771,202057,225658,251099,323996,350093,325082,178624,110575,18670,494,0.36,250278,0.12,0.35,0.15,0.11
2023,충청북도,1593469,103333,144446,181676,187761,230702,272450,257982,128433,75249,11181,256,0.36,145053,0.09,0.32,0.14,0.09
