날짜,년도,월,일,지점,평균기온,최저기온,최고기온,폭염여부,일교차,온열질환_환자수
2021-05-20,2021.0,5.0,20.0,강원도,16.3,13.15,21.2,0,8.049999999999999,0
2021-05-21,2021.0,5.0,21.0,강원도,14.1,12.1,16.65,0,4.549999999999999,0
2021-05-22,2021.0,5.0,22.0,강원도,19.2,12.1,26.450000000000003,0,14.350000000000003,0
2021-05-23,2021.0,5.0,23.0,강원도,20.85,14.3,27.25,0,12.95,0
2021-05-24,2021.0,5.0,24.0,강원도,19.1,14.65,24.1,0,9.450000000000001,0
2021-05-25,2021.0,5.0,25.0,강원도,13.25,10.25,17.9,0,7.649999999999999,0
2021-05-26,2021.0,5.0,26.0,강원도,16.85,9.05,23.75,0,14.7,0
2021-05-27,2021.0,5.0,27.0,강원도,15.1,12.5,18.95,0,6.449999999999999,0
2021-05-28,2021.0,5.0,28.0,강원도,14.05,10.95,18.85,0,7.900000000000002,0
2021-05-29,2021.0,5.0,29.0,강원도,15.0,11.3,19.85,0,8.55,0
2021-05-30,2021.0,5.0,30.0,강원도,16.85,10.15,23.75,0,13.6,0
2021-05-31,2021.0,5.0,31.0,강원도,16.65,14.0,20.75,0,6.75,0
2021-06-01,2021.0,6.0,1.0,강원도,18.15,13.95,23.05,0,9.100000000000001,0
2021-06-02,2021.0,6.0,2.0,강원도,20.0,14.5,26.700000000000003,0,12.200000000000003,0
2021-06-03,2021.0,6.0,3.0,강원도,17.35,13.65,21.8,0,8.15,0
2021-06-04,2021.0,6.0,4.0,강원도,18.55,12.0,24.35,0,12.350000000000001,0
2021-06-05,2021.0,6.0,5.0,강원도,20.15,15.35,25.65,0,10.299999999999999,0
2021-06-06,2021.0,6.0,6.0,강원도,21.55,15.6,27.3,0,11.700000000000001,0
2021-06-07,2021.0,6.0,7.0,강원도,21.6,17.200000000000003,26.65,0,9.449999999999996,0
2021-06-08,2021.0,6.0,8.0,강원도,20.55,16.75,25.85,0,9.100000000000001,1
2021-06-09,2021.0,6.0,9.0,강원도,21.8,15.9,28.35,0,12.450000000000001,1
2021-06-10,2021.0,6.0,10.0,강원도,21.6,17.1,26.8,0,9.7,0
2021-06-11,2021.0,6.0,11.0,강원도,21.65,18.15,25.6,0,7.450000000000003,0
2021-06-12,2021.0,6.0,12.0,강원도,22.35,17.200000000000003,28.25,0,11.049999999999997,2
2021-06-13,2021.0,6.0,13.0,강원도,21.9,16.1,28.15,0,12.049999999999997,0
2021-06-14,2021.0,6.0,14.0,강원도,21.15,16.1,26.8,0,10.7,0
2021-06-15,2021.0,6.0,15.0,강원도,20.1,18.7,22.35,0,3.650000000000002,0
2021-06-16,2021.0,6.0,16.0,강원도,19.05,16.55,21.95,0,5.399999999999999,0
2021-06-17,2021.0,6.0,17.0,강원도,18.6,15.2,22.05,0,6.850000000000001,0
2021-06-18,2021.0,6.0,18.0,강원도,20.85,17.75,24.6,0,6.850000000000001,0
